feature	importance
MQ137	602.0930517792007
TGS2600	599.7679975308871
MQ3	494.28370805428295
TGS2603	479.59955643465804
TGS2620	334.9978564421115
TGS2612	319.1908600642061
MQ138	281.0241148144649
SYG9	255.29753591651777
TGS2609	190.98244963674605
TGS2619	185.67168306081498
TGS2610	104.87130592874911
TGS2618	88.99502363818378
TGS2602	79.10636636328415
TGS2611	60.19497891237381
MQ135	33.36315916770856
SY1B	30.669955467513816
