-0.73132,-0.79461,-0.75483,-0.7401,-0.75303,-0.76889,-0.76614,-0.74669,-0.7791,-0.78999,-0.75263,-0.7428,-0.78558,-0.75792,-0.73901,-0.72378,-0.7815,-0.71151,-0.69355,-0.66827,-0.18369,-0.15878,-0.19361,0.12622,0.042644,0.30027,0.42041,0.30443,0.41018,0.38758,0.3222,0.28598,0.31156,0.31981,0.38819,0.42086,0.36954,0.49152,0.4284,0.2737,-0.15642,0.044068,-0.12748,-0.3434,-0.351,0.8544,0.85002,1.2783,1.4385,1.4464,1.6571,1.5459,1.7084,1.6592,1.6232,1.7535,1.3904,1.3615,1.4398,1.503,1.4004,1.4742,1.0332,1.1973,1.201,1.372,1.1157,0.87661,0.90097,0.83972,0.91758,1.0367,0.98853,1.0527,1.1729,1.1582,1.0716,1.0679,1.052,0.98701,1.0888,1.1138,1.0163,0.93864,0.87139,0.66758,0.61691,0.68234,0.35179,0.2286,0.28558,0.16821,0.09718,0.13658,0.070273,0.019342,0.018908,0.17391,0.081742,0.058373,-0.15171,-0.21905,-0.15962,-0.16742,-0.21826,-0.36987,-0.42093,-0.41008,-0.46547,-0.47285,-0.55657,-0.59364,-0.65867,-0.71529,-0.68477,-0.70467
-0.73323,-0.79566,-0.75045,-0.74655,-0.75506,-0.77165,-0.76282,-0.75105,-0.78024,-0.78722,-0.75128,-0.7435,-0.78441,-0.75768,-0.7397,-0.72107,-0.7789,-0.71367,-0.69103,-0.66471,-0.19232,-0.17002,-0.20709,0.11146,0.027333,0.28159,0.41172,0.30463,0.42009,0.40376,0.32395,0.29872,0.31913,0.31542,0.39008,0.43191,0.37422,0.50235,0.44036,0.28272,-0.1274,0.071613,-0.10524,-0.33915,-0.32978,0.83871,0.83808,1.2502,1.4146,1.4091,1.6264,1.5157,1.6843,1.6507,1.6012,1.7374,1.3777,1.3426,1.4275,1.4871,1.389,1.4631,1.0221,1.1813,1.1895,1.3578,1.1062,0.8627,0.88968,0.8388,0.90566,1.0268,0.9864,1.0405,1.1587,1.1523,1.0586,1.0587,1.0467,0.98323,1.0806,1.0989,0.99061,0.93313,0.86094,0.66179,0.6145,0.67553,0.34443,0.22538,0.28011,0.16165,0.093612,0.12925,0.060583,0.017096,0.011618,0.17002,0.072067,0.053346,-0.15558,-0.22706,-0.16329,-0.171,-0.22265,-0.37042,-0.42513,-0.40919,-0.46678,-0.48126,-0.55858,-0.59608,-0.65878,-0.71374,-0.68636,-0.70352
-0.73633,-0.79758,-0.74675,-0.75343,-0.75777,-0.775,-0.7605,-0.7558,-0.78171,-0.78522,-0.75044,-0.74478,-0.78384,-0.75797,-0.74116,-0.71909,-0.77695,-0.71649,-0.68961,-0.66226,-0.20443,-0.18486,-0.22369,0.091696,0.0078005,0.25748,0.39731,0.29963,0.42438,0.41435,0.321,0.3063,0.32092,0.30551,0.386,0.43694,0.37357,0.50688,0.44683,0.28701,-0.10155,0.094793,-0.086172,-0.3376,-0.31111,0.81508,0.8185,1.2129,1.3802,1.3619,1.5848,1.4746,1.6487,1.6305,1.5679,1.709,1.3551,1.3138,1.4047,1.4605,1.3672,1.4411,1.0022,1.1561,1.169,1.3334,1.0875,0.84114,0.87007,0.83009,0.88561,1.0082,0.97549,1.0195,1.1349,1.1371,1.037,1.0405,1.032,0.97098,1.0634,1.0753,0.95715,0.91923,0.84248,0.649,0.605,0.66144,0.33131,0.21729,0.26922,0.15022,0.085465,0.11748,0.04695,0.010502,0.00031923,0.16141,0.058098,0.043839,-0.16289,-0.23809,-0.17029,-0.17793,-0.2299,-0.37339,-0.43179,-0.41055,-0.47017,-0.49149,-0.5622,-0.60018,-0.66003,-0.71305,-0.68896,-0.70322
-0.73605,-0.79658,-0.73935,-0.7563,-0.75684,-0.7748,-0.75497,-0.75657,-0.77948,-0.78007,-0.74572,-0.74215,-0.77992,-0.75451,-0.73887,-0.71309,-0.7716,-0.71514,-0.68422,-0.65548,-0.20894,-0.19197,-0.2325,0.081649,-0.0022296,0.24471,0.3956,0.30657,0.44162,0.43774,0.33079,0.32583,0.33423,0.30731,0.39409,0.45462,0.38562,0.52466,0.46667,0.30349,-0.066865,0.128,-0.057999,-0.32942,-0.28547,0.80702,0.81482,1.1948,1.3655,1.3354,1.5654,1.4545,1.6355,1.6319,1.5561,1.7029,1.3526,1.3048,1.402,1.4548,1.3651,1.4394,0.99932,1.1492,1.1671,1.3289,1.0864,0.83578,0.86627,0.83716,0.88177,1.0069,0.98114,1.0157,1.129,1.1399,1.0331,1.0394,1.0341,0.97557,1.0637,1.0696,0.94133,0.92164,0.83984,0.65064,0.60927,0.66166,0.33001,0.22053,0.26972,0.14929,0.0873,0.11628,0.043568,0.013193,-0.0014033,0.16359,0.054144,0.043922,-0.16206,-0.24142,-0.16915,-0.17684,-0.22924,-0.36981,-0.43264,-0.40565,-0.46786,-0.49594,-0.56073,-0.59973,-0.65696,-0.70837,-0.68744,-0.69881
-0.73916,-0.79895,-0.7349,-0.76173,-0.75883,-0.77749,-0.75281,-0.7599,-0.77992,-0.77814,-0.74371,-0.74227,-0.77902,-0.75383,-0.73953,-0.70992,-0.76931,-0.71646,-0.68193,-0.65166,-0.21653,-0.20215,-0.24403,0.068471,-0.014956,0.22925,0.39154,0.31111,0.45655,0.45873,0.33889,0.3429,0.34453,0.30645,0.39934,0.46958,0.39551,0.53981,0.48451,0.31797,-0.034752,0.15836,-0.032211,-0.32429,-0.26274,0.79638,0.80886,1.1749,1.3484,1.3074,1.5443,1.4323,1.6204,1.6308,1.5422,1.6944,1.3481,1.2937,1.3969,1.4469,1.3605,1.4353,0.99399,1.14,1.1632,1.3222,1.0828,0.82834,0.85975,0.84177,0.87551,1.0033,0.98401,1.0095,1.1204,1.1403,1.0271,1.0357,1.0332,0.97769,1.0615,1.0617,0.92405,0.92146,0.83466,0.64981,0.61069,0.65919,0.32597,0.22136,0.2675,0.14563,0.086344,0.11266,0.038005,0.012939,-0.0056653,0.16326,0.047666,0.041134,-0.16405,-0.24743,-0.17075,-0.17856,-0.23111,-0.36908,-0.43664,-0.40361,-0.46852,-0.50309,-0.56217,-0.60247,-0.65683,-0.70662,-0.68886,-0.69724
-0.74305,-0.80198,-0.7309,-0.76697,-0.7611,-0.78036,-0.75147,-0.76308,-0.78033,-0.77683,-0.74182,-0.7425,-0.77848,-0.75332,-0.74053,-0.70711,-0.76744,-0.71787,-0.68032,-0.64845,-0.22562,-0.21384,-0.25658,0.053193,-0.029147,0.21186,0.38546,0.31361,0.46912,0.47719,0.34566,0.35769,0.35202,0.30336,0.40191,0.4817,0.40341,0.55209,0.50026,0.33074,-0.0044549,0.18625,-0.0079386,-0.32056,-0.24158,0.78266,0.80009,1.1522,1.3273,1.2766,1.5199,1.4063,1.6013,1.6247,1.5243,1.6809,1.34,1.2792,1.3878,1.4351,1.3517,1.4268,0.98524,1.1275,1.1561,1.3119,1.0755,0.81828,0.84985,0.84318,0.86616,0.99636,0.98306,0.99989,1.108,1.137,1.018,1.0283,1.0282,0.97638,1.0557,1.0508,0.90477,0.91783,0.82636,0.64626,0.60903,0.65376,0.31963,0.22042,0.2631,0.14005,0.083487,0.10753,0.031363,0.010769,-0.011315,0.16119,0.03973,0.036485,-0.16743,-0.25442,-0.17367,-0.18162,-0.23391,-0.36935,-0.44181,-0.40254,-0.47012,-0.51075,-0.56428,-0.60607,-0.65724,-0.70528,-0.69072,-0.69604
-0.74915,-0.80678,-0.72899,-0.77325,-0.76496,-0.78462,-0.75243,-0.76739,-0.78198,-0.77745,-0.74157,-0.74433,-0.77961,-0.75441,-0.74337,-0.70638,-0.7674,-0.72094,-0.68125,-0.64791,-0.24035,-0.23118,-0.27403,0.030288,-0.049884,0.1862,0.36984,0.30678,0.47096,0.48457,0.34358,0.36234,0.34904,0.2909,0.39397,0.48252,0.40144,0.55268,0.50532,0.3342,0.017817,0.20448,0.0088024,-0.32212,-0.2267,0.75632,0.77875,1.1152,1.2897,1.2313,1.4787,1.3641,1.5644,1.5995,1.4887,1.6481,1.3156,1.2491,1.3615,1.4063,1.326,1.4008,0.96237,1.1002,1.1341,1.2853,1.0533,0.79584,0.8266,0.83121,0.84367,0.97537,0.9674,0.97618,1.0806,1.1183,0.99503,1.0063,1.0079,0.96075,1.035,1.0258,0.87352,0.90027,0.80505,0.63101,0.59545,0.6364,0.30386,0.21098,0.24962,0.12636,0.072788,0.094888,0.01812,0.0011205,-0.023683,0.15103,0.02478,0.024343,-0.17673,-0.26638,-0.18242,-0.19049,-0.24183,-0.37416,-0.45115,-0.40582,-0.47559,-0.52147,-0.56945,-0.6127,-0.66013,-0.70608,-0.69474,-0.69695
-0.75353,-0.8105,-0.72501,-0.77702,-0.76677,-0.78699,-0.75192,-0.7692,-0.78156,-0.77669,-0.73893,-0.74375,-0.77909,-0.75329,-0.74403,-0.70312,-0.76567,-0.72121,-0.67961,-0.64436,-0.24731,-0.24053,-0.28353,0.018277,-0.060136,0.17371,0.36936,0.31396,0.48829,0.50726,0.35668,0.38107,0.35966,0.29226,0.40049,0.49848,0.41465,0.56933,0.52659,0.35211,0.049635,0.23412,0.035555,-0.31728,-0.20487,0.74927,0.77711,1.1028,1.2776,1.2124,1.4664,1.3488,1.5566,1.6024,1.4812,1.6445,1.3171,1.2444,1.3613,1.4044,1.3258,1.4011,0.96105,1.0964,1.1359,1.2843,1.0535,0.79365,0.82319,0.83894,0.84152,0.97618,0.97265,0.97428,1.076,1.1226,0.99441,1.006,1.0089,0.96633,1.0365,1.0237,0.86457,0.90324,0.80349,0.63354,0.59872,0.63673,0.30216,0.21474,0.24953,0.12476,0.073382,0.094331,0.016497,0.0017947,-0.025348,0.15338,0.021169,0.02299,-0.17743,-0.27034,-0.1826,-0.19088,-0.24152,-0.37265,-0.45517,-0.40321,-0.47596,-0.52701,-0.57043,-0.61587,-0.65996,-0.70436,-0.69602,-0.69513
-0.75782,-0.81405,-0.7209,-0.7796,-0.76799,-0.78864,-0.75157,-0.7699,-0.78033,-0.77586,-0.73566,-0.74248,-0.77819,-0.75156,-0.74423,-0.69955,-0.76369,-0.72069,-0.67793,-0.64074,-0.25452,-0.25004,-0.29268,0.0057598,-0.0703,0.16104,0.36834,0.32019,0.50404,0.52798,0.36956,0.39813,0.36838,0.29272,0.40539,0.51234,0.4269,0.58395,0.54658,0.36913,0.079506,0.26136,0.06102,-0.3131,-0.18446,0.74096,0.77429,1.0899,1.2637,1.1936,1.4533,1.3325,1.5474,1.6023,1.472,1.6382,1.3169,1.2385,1.3589,1.4007,1.3235,1.3991,0.95817,1.0912,1.1363,1.2816,1.0518,0.7907,0.81821,0.84484,0.83811,0.97553,0.97559,0.97093,1.0698,1.1249,0.99264,1.0039,1.0073,0.96995,1.0361,1.0205,0.85604,0.90435,0.80054,0.63488,0.6003,0.63572,0.29968,0.21796,0.24862,0.12261,0.073293,0.093628,0.015254,0.0017142,-0.027034,0.15532,0.017577,0.021085,-0.17835,-0.27395,-0.18298,-0.19144,-0.241,-0.37118,-0.45924,-0.40069,-0.47631,-0.53184,-0.57112,-0.61894,-0.65951,-0.70233,-0.69687,-0.6929
-0.76224,-0.81773,-0.71704,-0.78123,-0.76888,-0.78988,-0.75168,-0.76978,-0.77862,-0.77529,-0.73207,-0.74081,-0.77726,-0.74954,-0.74427,-0.696,-0.7618,-0.71962,-0.67647,-0.63734,-0.26171,-0.25938,-0.30119,-0.0066537,-0.079873,0.14896,0.36751,0.32603,0.51876,0.54719,0.38276,0.41396,0.37575,0.29292,0.40931,0.52468,0.43877,0.5972,0.56585,0.38572,0.10731,0.28633,0.085195,-0.30956,-0.16561,0.73256,0.7714,1.0781,1.2498,1.1766,1.4415,1.317,1.5387,1.6011,1.4631,1.6313,1.3167,1.2331,1.3559,1.397,1.3206,1.3964,0.95507,1.0863,1.1367,1.279,1.0497,0.78817,0.8129,0.84995,0.83466,0.97472,0.97742,0.96747,1.0634,1.1266,0.99107,1.0013,1.0047,0.97281,1.0352,1.0177,0.84932,0.9048,0.79738,0.636,0.60109,0.63442,0.29719,0.2212,0.24756,0.12047,0.072986,0.093292,0.01487,0.0012845,-0.028304,0.15739,0.014519,0.019102,-0.17922,-0.27696,-0.18331,-0.19192,-0.24007,-0.36972,-0.4633,-0.39825,-0.47666,-0.53592,-0.5716,-0.622,-0.65898,-0.70027,-0.69753,-0.69053
