PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,target
-10.700411678797877,1.4873704195705955,0.14713884329691285,-0.749336348347484,0.08178657928284194,0.03862960221743539,-0.027709743941693774,-0.02183491754301836,-0.03904771003224078,0.004668974431731286,0.013367889757527009,0.0030477289742770605,-0.002054714136617539,0.000400998862231797,0.001166733794829933,7.97814139370734e-05,1_0
5.6479643694120245,7.162765665974258,0.17088592996363824,-0.016643834309379678,0.017070833467264714,0.019936895456356414,0.001902711968064699,0.002611662339480923,0.003100795131905507,0.0003384414449526937,-0.001093083231380346,-3.7847586223140295e-05,-0.00013894358533034372,3.223693023199033e-05,-3.780080191093937e-05,-8.51464004778598e-06,1_1
-0.6442927552502089,-0.6563402038748517,1.377961005078325,0.15629945057022818,0.1637166251747359,0.3012811505686233,-0.09105512925437168,0.047263235634249216,0.06059962839741897,-0.07865665708679145,0.04157735299460155,-0.007494898901354889,0.008305779938374001,-0.002771594855094208,-0.004080622764201633,0.0014651262747821662,1_2
6.617215855533861,-1.6944498789369589,-0.6519126728820347,-0.4221332555296654,0.14298951628837714,0.08675648110597346,0.004835344914502667,0.010746336153143698,-0.08134109111737117,0.021337076759617643,-0.08051262301599105,-0.0023108285986033783,0.00076561275449342,-0.004050798634093,-0.007555516055068903,-0.001209145848594657,1_3
3.537032244655454,-1.345185416531024,1.2625480867476393,-0.15225965548576545,0.12630524902163903,0.10933168341622082,0.08536333651691988,0.05197587181607847,-0.05182696327457042,0.04739960475285439,-0.005796468522475181,0.011137233222120365,-0.007123148061330102,-0.0008093028739583657,0.0058452611293018505,0.0032903453635764264,1_4
4.095034282322222,-1.0751156650840978,-0.45039508142597257,-0.2820023886489725,-0.09343461570840735,-0.1069530948063325,-0.05757304464903316,-0.04196440812010496,0.04963302059446891,0.025056195375618026,0.054405448387224574,-0.03859444572006752,-0.0018155805698252818,-0.002693673636171953,0.0031239878959748637,0.0034629461352210108,1_5
1.6742087385826023,-0.86277217545127,1.1219645666032092,0.06281203332760539,0.08430776845389673,-0.045833012256264176,0.07175819380669343,-0.0716668274947705,0.007625225190892666,0.03417077779609673,0.04854031571323651,0.002299156749801524,0.0010526401498626467,0.012458395725226045,-0.004363572411742722,-0.0025976239530315936,1_6
2.59871766982765,-0.7429213242382494,-0.8442245318899319,-0.049774177213619784,0.14208373179535505,-0.11636604174285027,-0.24372065238837243,0.018805175115073246,-0.022230108626808957,-0.048330586815206744,0.07307846813661395,0.005076807611610398,-0.0054329764915604685,0.011849405659023156,0.0025747419270262142,-0.003664547816444992,1_7
0.40614436658426906,-0.5254154499768986,1.026330867674555,0.024207713902964,-0.12479968498773518,-0.132934409715044,-0.03802181353974073,-0.00028601956242709116,-0.03376755118836895,0.0069126160128501375,-0.04402931736996319,0.012372092179446658,0.012194744164730854,-0.004176072973181759,0.011539119316347327,-0.007096614419091393,1_8
1.0859728233152486,-0.48908920256856026,-0.808527656022963,0.0328298695964895,0.012315502497152655,-0.01893257276977686,0.06253249336970362,0.004459053077384729,0.007463868653473847,-0.07904160986681098,0.008694879175731944,0.04956050291938742,0.008070323291886696,-0.004246049394113607,0.00897680418760348,0.006608199850811777,1_9
-0.3792196492369842,-0.3340179175150894,0.9476398261612647,0.04557498941309403,-0.21349323575511633,-0.23536451024845464,0.02990893146914829,-0.017043767668599927,0.030228659756899055,0.0013076135489266988,0.009536648672034836,0.010591260440449965,-0.034425560167420384,-0.005214532077374532,-0.003591124819232214,0.0019744378067689805,1_10
0.31031290799432054,-0.42949376007514295,-0.45936239518404154,-0.23490419100363133,-0.1474666863985427,-0.024943626322507278,0.016080707120103642,0.05970866726075532,0.107344055329506,-0.03678936957575195,-0.004452738797371714,0.024096492905715045,-0.004963252146715096,-0.008080736788290934,-0.007952743761861019,-0.002898137857399488,1_11
-1.929515908853056,0.02818703816423021,0.5510189085209017,0.12210438067468395,-0.08363465468906099,-0.2582531759921587,-0.12713748888647813,0.03125658411729022,-0.028878433032397274,-0.036713186238708735,-0.06480576122029487,-0.030139262509407367,0.02795963353242247,-0.00039312760647071095,-0.005344992644926738,0.004095706177901575,1_12
-0.4732035289413807,-0.2791437222342687,-0.4616926798911396,0.006302062120115587,-0.4028257993905376,0.2072435467855577,0.060419402815088626,0.10028332889034115,0.028185787404644762,0.03933155867469996,0.031025071119738266,-0.014899245285941184,0.012360387352370644,0.0013856936151811247,0.002128568222333011,-0.0033285898869859247,1_13
-1.5062777738319582,0.06060481803588468,-0.4069408182554627,0.30280713739107645,-0.17196080145857343,0.05634874619486589,0.10139641130413687,-0.027929342859079397,-0.19319887668348198,-0.05860026723178468,0.051188208533076804,-0.004492099000345676,-0.0058356502515570395,-0.0025667556368312336,-0.004650672032737553,-0.00044992117533102286,1_14
-0.8254158286262654,-0.23442645415584035,-0.28128240970036755,0.022330958019474212,-0.2039294139391659,0.12351256793032304,0.02156942754649287,-0.056666531937310465,0.03452410055771001,0.004610742884631583,-0.07212992777187185,0.00757098487621777,-0.002603132578633999,0.023174013140545967,1.2924451187728904e-05,0.0035592763824816524,1_15
-2.204152485069858,0.020398788994083976,-0.5177509462334203,0.1241285456093442,0.30428917608691,-0.1876760354176819,0.286958737077934,0.08937862096785046,0.04522155340075444,-0.031046663778896703,-0.01063982602239508,-0.02134879463764781,0.0009993148969132367,0.005927201958380505,0.0005600695228628474,-0.002322916826332702,1_16
-0.8397714036154946,-0.2583956704981085,-0.34301624678566384,0.17020183045565,0.0688004300036166,0.1506752246749285,0.0018987206879338163,-0.1488672354192663,0.04898416332930304,-0.060178691247150314,-0.057302329952291294,-0.03926918482623097,-0.012879373935644608,-0.007940961488864142,0.004878419252174201,-0.002832610478546118,1_17
-2.9527942403389593,0.175900812716316,-0.38993254734027405,0.4052847875015143,0.11655101350224654,0.03235620676974257,-0.13983113668495153,0.01696317671054432,0.007779332456316319,0.05434846667717957,-0.04649908963648032,0.046350283614053724,-0.008334592106116185,-0.0011658705358492895,-0.002936064274644571,-0.001810511522637526,1_18
-0.7987856136353599,-0.16594396286780452,-0.4195871439053545,0.12158037002636897,0.07911559337309781,-0.02998231550181061,0.06501030132561132,-0.12862387422342467,0.032791257418297304,0.08869701074080441,0.05151504742903791,0.019246361145651064,0.027219104568927413,-0.007244207334985817,-0.0034134912691202893,0.0005266059649652892,1_19
-2.7187623920302495,0.1574832605527953,-0.5708629045298214,0.310589721929909,0.10221287338000527,0.031166689652853616,-0.08458571057769056,0.0814312127458095,-0.01319071366635086,0.10117795274113885,0.004331835621691074,-0.032762297572907766,-0.013320616619230546,-0.00387426205554061,0.0031199711358045534,0.003156709053996255,1_20
