-0.812,-0.80431,-0.79461,-0.75483,-0.7561,-0.74677,-0.76889,-0.77189,-0.72977,-0.75792,-0.79031,-0.72521,-0.76142,-0.77041,-0.7815,-0.71151,-0.66827,-0.18369,-0.2913,0.12622,0.30027,0.26839,0.38383,0.41302,0.5072,0.3645,0.38758,0.29891,0.28598,0.31156,0.38819,0.32203,0.42086,0.36954,0.49152,-0.15642,0.044068,-0.12748,-0.1724,-0.3434,-0.43102,-0.351,-0.24749,0.092648,0.8544,0.85002,1.0933,1.4748,1.345,1.6571,1.5459,1.73,1.5922,1.6232,1.7535,1.7405,1.6578,1.503,1.4742,1.0332,1.201,1.372,1.1157,1.0483,1.0024,0.87661,0.93649,0.83972,0.91758,1.0527,1.1729,1.0382,1.1582,1.0716,1.0503,0.8728,0.77631,0.98793,0.87139,0.66317,0.66758,0.59263,0.46569,0.61691,0.68234,0.32333,0.2286,0.28558,0.23368,0.16821,0.09718,0.070273,0.019342,0.17391,-0.010202,-0.15171,-0.15962,-0.16742,-0.21826,-0.22573,-0.29443,-0.42093,-0.41008,-0.46547,-0.53564,-0.47285,-0.4578,-0.55657,-0.55744,-0.71701,-0.70467
-0.823,-0.80378,-0.79566,-0.75045,-0.76339,-0.74762,-0.77165,-0.7725,-0.7303,-0.75768,-0.79216,-0.72391,-0.76218,-0.76818,-0.7789,-0.71367,-0.66471,-0.19232,-0.30344,0.11146,0.28159,0.25364,0.36946,0.41085,0.49743,0.36382,0.40376,0.31014,0.29872,0.31913,0.39008,0.32795,0.43191,0.37422,0.50235,-0.1274,0.071613,-0.10524,-0.16473,-0.33915,-0.42453,-0.32978,-0.22387,0.10723,0.83871,0.83808,1.0682,1.4368,1.3194,1.6264,1.5157,1.7114,1.5653,1.6012,1.7374,1.7226,1.6389,1.4871,1.4631,1.0221,1.1895,1.3578,1.1062,1.0436,0.99273,0.8627,0.9253,0.8388,0.90566,1.0405,1.1587,1.0232,1.1523,1.0586,1.0304,0.86236,0.76275,0.97364,0.86094,0.65326,0.66179,0.59241,0.45549,0.6145,0.67553,0.31056,0.22538,0.28011,0.22956,0.16165,0.093612,0.060583,0.017096,0.17002,-0.011546,-0.15558,-0.16329,-0.171,-0.22265,-0.22277,-0.29877,-0.42513,-0.40919,-0.46678,-0.54055,-0.48126,-0.46658,-0.55858,-0.56394,-0.71546,-0.70352
-0.83522,-0.80416,-0.79758,-0.74675,-0.77104,-0.74931,-0.775,-0.77378,-0.73177,-0.75797,-0.79437,-0.72338,-0.7635,-0.7667,-0.77695,-0.71649,-0.66226,-0.20443,-0.31814,0.091696,0.25748,0.23326,0.34935,0.40209,0.48157,0.35774,0.41435,0.31632,0.3063,0.32092,0.386,0.32802,0.43694,0.37357,0.50688,-0.10155,0.094793,-0.086172,-0.16083,-0.3376,-0.42049,-0.31111,-0.20294,0.11734,0.81508,0.8185,1.0347,1.389,1.2838,1.5848,1.4746,1.6809,1.5278,1.5679,1.709,1.693,1.6083,1.4605,1.4411,1.0022,1.169,1.3334,1.0875,1.03,0.97428,0.84114,0.90559,0.83009,0.88561,1.0195,1.1349,0.9996,1.1371,1.037,1.002,0.84428,0.74188,0.95103,0.84248,0.63643,0.649,0.58478,0.43911,0.605,0.66144,0.29261,0.21729,0.26922,0.2205,0.15022,0.085465,0.04695,0.010502,0.16141,-0.01688,-0.16289,-0.17029,-0.17793,-0.2299,-0.22313,-0.306,-0.43179,-0.41055,-0.47017,-0.54717,-0.49149,-0.47703,-0.5622,-0.5717,-0.71476,-0.70322
-0.84525,-0.80178,-0.79658,-0.73935,-0.77481,-0.74742,-0.7748,-0.77162,-0.72957,-0.75451,-0.79308,-0.71892,-0.76115,-0.76182,-0.7716,-0.71514,-0.65548,-0.20894,-0.32565,0.081649,0.24471,0.22369,0.34137,0.40507,0.47905,0.36411,0.43774,0.33471,0.32583,0.33423,0.39409,0.33963,0.45462,0.38562,0.52466,-0.066865,0.128,-0.057999,-0.14925,-0.32942,-0.41061,-0.28547,-0.17387,0.13777,0.80702,0.81482,1.019,1.3621,1.2677,1.5654,1.4545,1.6726,1.5121,1.5561,1.7029,1.6859,1.5992,1.4548,1.4394,0.99932,1.1671,1.3289,1.0864,1.0335,0.97249,0.83578,0.90195,0.83716,0.88177,1.0157,1.129,0.99326,1.1399,1.0331,0.99079,0.84244,0.73636,0.94528,0.83984,0.63402,0.65064,0.59031,0.43547,0.60927,0.66166,0.2867,0.22053,0.26972,0.22271,0.14929,0.0873,0.043568,0.013193,0.16359,-0.012898,-0.16206,-0.16915,-0.17684,-0.22924,-0.21606,-0.30631,-0.43264,-0.40565,-0.46786,-0.54863,-0.49594,-0.48132,-0.56073,-0.57405,-0.7101,-0.69881
-0.85914,-0.8029,-0.79895,-0.7349,-0.78114,-0.74859,-0.77749,-0.77245,-0.73045,-0.75383,-0.79455,-0.71735,-0.76163,-0.76003,-0.76931,-0.71646,-0.65166,-0.21653,-0.33575,0.068471,0.22925,0.21103,0.33082,0.40462,0.47422,0.36818,0.45873,0.35086,0.3429,0.34453,0.39934,0.34819,0.46958,0.39551,0.53981,-0.034752,0.15836,-0.032211,-0.14099,-0.32429,-0.40394,-0.26274,-0.1473,0.15549,0.79638,0.80886,1.0015,1.3338,1.2495,1.5443,1.4323,1.6619,1.4949,1.5422,1.6944,1.6768,1.5877,1.4469,1.4353,0.99399,1.1632,1.3222,1.0828,1.0344,0.96802,0.82834,0.89554,0.84177,0.87551,1.0095,1.1204,0.98469,1.1403,1.0271,0.97746,0.83851,0.72862,0.9373,0.83466,0.62923,0.64981,0.5925,0.42921,0.61069,0.65919,0.27857,0.22136,0.2675,0.22245,0.14563,0.086344,0.038005,0.012939,0.16326,-0.011615,-0.16405,-0.17075,-0.17856,-0.23111,-0.21209,-0.3096,-0.43664,-0.40361,-0.46852,-0.55301,-0.50309,-0.48803,-0.56217,-0.5789,-0.70834,-0.69724
-0.87396,-0.80485,-0.80198,-0.7309,-0.78724,-0.7502,-0.78036,-0.77361,-0.73186,-0.75332,-0.79605,-0.71613,-0.7623,-0.75876,-0.76744,-0.71787,-0.64845,-0.22562,-0.34657,0.053193,0.21186,0.19604,0.31819,0.40086,0.4672,0.37022,0.47719,0.36495,0.35769,0.35202,0.40191,0.35389,0.4817,0.40341,0.55209,-0.0044549,0.18625,-0.0079386,-0.13483,-0.32056,-0.3987,-0.24158,-0.12215,0.17102,0.78266,0.80009,0.98126,1.3028,1.2278,1.5199,1.4063,1.6467,1.4744,1.5243,1.6809,1.6634,1.5715,1.4351,1.4268,0.98524,1.1561,1.3119,1.0755,1.0316,0.95999,0.81828,0.88563,0.84318,0.86616,0.99989,1.108,0.97302,1.137,1.018,0.9612,0.8319,0.71836,0.92635,0.82636,0.6219,0.64626,0.59112,0.42059,0.60903,0.65376,0.26885,0.22042,0.2631,0.22034,0.14005,0.083487,0.031363,0.010769,0.16119,-0.011953,-0.16743,-0.17367,-0.18162,-0.23391,-0.20979,-0.31412,-0.44181,-0.40254,-0.47012,-0.55807,-0.51075,-0.49498,-0.56428,-0.58391,-0.70699,-0.69604
-0.89017,-0.80875,-0.80678,-0.72899,-0.79418,-0.75366,-0.78462,-0.77638,-0.7353,-0.75441,-0.79872,-0.71692,-0.76451,-0.75943,-0.7674,-0.72094,-0.64791,-0.24035,-0.3615,0.030288,0.1862,0.1724,0.29649,0.38607,0.45007,0.36262,0.48457,0.36916,0.36234,0.34904,0.39397,0.34911,0.48252,0.40144,0.55268,0.017817,0.20448,0.0088024,-0.13574,-0.32212,-0.39839,-0.2267,-0.10384,0.17753,0.75632,0.77875,0.94792,1.2571,1.1909,1.4787,1.3641,1.6127,1.4375,1.4887,1.6481,1.6313,1.5369,1.4063,1.4008,0.96237,1.1341,1.2853,1.0533,1.0139,0.93778,0.79584,0.86207,0.83121,0.84367,0.97618,1.0806,0.94769,1.1183,0.99503,0.9316,0.81271,0.69638,0.90209,0.80505,0.60329,0.63101,0.57741,0.40199,0.59545,0.6364,0.25079,0.21098,0.24962,0.2097,0.12636,0.072788,0.01812,0.0011205,0.15103,-0.019381,-0.17673,-0.18242,-0.19049,-0.24183,-0.21363,-0.32361,-0.45115,-0.40582,-0.47559,-0.56617,-0.52147,-0.50479,-0.56945,-0.59127,-0.70774,-0.69695
-0.90629,-0.81184,-0.8105,-0.72501,-0.79878,-0.75512,-0.78699,-0.77734,-0.73661,-0.75329,-0.79956,-0.71525,-0.76463,-0.75839,-0.76567,-0.72121,-0.64436,-0.24731,-0.36933,0.018277,0.17371,0.16126,0.28914,0.38512,0.44898,0.3698,0.50726,0.38785,0.38107,0.35966,0.40049,0.35793,0.49848,0.41465,0.56933,0.049635,0.23412,0.035555,-0.12861,-0.31728,-0.39272,-0.20487,-0.076948,0.19576,0.74927,0.77711,0.93703,1.2383,1.1788,1.4664,1.3488,1.6078,1.4289,1.4812,1.6445,1.6287,1.5304,1.4044,1.4011,0.96105,1.1359,1.2843,1.0535,1.0178,0.93661,0.79365,0.85868,0.83894,0.84152,0.97428,1.076,0.94417,1.1226,0.99441,0.92393,0.81383,0.6935,0.89917,0.80349,0.60244,0.63354,0.57981,0.39872,0.59872,0.63673,0.24695,0.21474,0.24953,0.2122,0.12476,0.073382,0.016497,0.0017947,0.15338,-0.016505,-0.17743,-0.1826,-0.19088,-0.24152,-0.20984,-0.32623,-0.45517,-0.40321,-0.47596,-0.56995,-0.52701,-0.50892,-0.57043,-0.59408,-0.70594,-0.69513
-0.92211,-0.81503,-0.81405,-0.7209,-0.80209,-0.75619,-0.78864,-0.77781,-0.73761,-0.75156,-0.79959,-0.71321,-0.76414,-0.75717,-0.76369,-0.72069,-0.64074,-0.25452,-0.37653,0.0057598,0.16104,0.14944,0.28139,0.38202,0.44723,0.3761,0.52798,0.40523,0.39813,0.36838,0.40539,0.36482,0.51234,0.4269,0.58395,0.079506,0.26136,0.06102,-0.12283,-0.3131,-0.38779,-0.18446,-0.051379,0.21231,0.74096,0.77429,0.92566,1.2196,1.1658,1.4533,1.3325,1.6006,1.4196,1.472,1.6382,1.6241,1.5216,1.4007,1.3991,0.95817,1.1363,1.2816,1.0518,1.0196,0.93365,0.7907,0.8536,0.84484,0.83811,0.97093,1.0698,0.93955,1.1249,0.99264,0.91554,0.81402,0.68998,0.89526,0.80054,0.60075,0.63488,0.58,0.39473,0.6003,0.63572,0.24318,0.21796,0.24862,0.21415,0.12261,0.073293,0.015254,0.0017142,0.15532,-0.014156,-0.17835,-0.18298,-0.19144,-0.241,-0.20685,-0.32896,-0.45924,-0.40069,-0.47631,-0.57333,-0.53184,-0.51203,-0.57112,-0.59594,-0.70379,-0.6929
-0.9378,-0.81865,-0.81773,-0.71704,-0.80434,-0.75711,-0.78988,-0.77805,-0.73854,-0.74954,-0.79913,-0.71108,-0.76334,-0.75611,-0.7618,-0.71962,-0.63734,-0.26171,-0.38292,-0.0066537,0.14896,0.13769,0.27402,0.37751,0.44562,0.38213,0.54719,0.42176,0.41396,0.37575,0.40931,0.37036,0.52468,0.43877,0.5972,0.10731,0.28633,0.085195,-0.11826,-0.30956,-0.38366,-0.16561,-0.027261,0.22743,0.73256,0.7714,0.91523,1.2029,1.1533,1.4415,1.317,1.5931,1.4114,1.4631,1.6313,1.6193,1.5123,1.397,1.3964,0.95507,1.1367,1.279,1.0497,1.0205,0.93023,0.78817,0.84812,0.84995,0.83466,0.96747,1.0634,0.93518,1.1266,0.99107,0.90786,0.81444,0.68698,0.89171,0.79738,0.59924,0.636,0.5789,0.39088,0.60109,0.63442,0.24021,0.2212,0.24756,0.21611,0.12047,0.072986,0.01487,0.0012845,0.15739,-0.011989,-0.17922,-0.18331,-0.19192,-0.24007,-0.20451,-0.33163,-0.4633,-0.39825,-0.47666,-0.57636,-0.53592,-0.51408,-0.5716,-0.59694,-0.70154,-0.69053
