-0.812,-0.76346,-0.76889,-0.7903,-0.6634,-0.77105,-0.75263,-0.77189,-0.72977,-0.79031,-0.77041,-0.72914,-0.75034,-0.7815,-0.66827,-0.62422,-0.40145,-0.18369,-0.21353,-0.10418,0.19626,0.12622,0.38237,0.30027,0.38383,0.5072,0.42041,0.49268,0.31376,0.41018,0.30725,0.38758,0.39883,0.29891,0.35358,0.28598,0.49355,0.38819,0.42086,0.36954,-0.15642,0.044068,-0.12748,-0.1724,-0.3434,-0.41063,-0.351,-0.0015695,0.092648,0.7929,0.64492,0.79914,0.8544,0.85002,1.1016,1.4647,1.2783,1.4464,1.345,1.6571,1.9063,1.73,1.7945,1.6232,1.569,1.7535,1.3904,1.451,1.6578,1.5259,1.503,1.3241,1.187,1.4742,1.1973,1.201,1.372,1.1157,1.0483,1.0024,0.78643,0.92667,0.89855,0.83972,1.1729,0.9982,1.1582,1.0716,0.89913,0.80678,0.98793,0.87139,0.7991,0.66758,0.59263,0.61691,0.61213,0.28558,0.37272,0.16821,0.09718,0.019342,0.059874,0.14491,0.12168,-0.010202,-0.15962,-0.16742,-0.21826,-0.36987,-0.42093,-0.41579,-0.41008,-0.47285,-0.4578,-0.55657,-0.71529,-0.72309,-0.70467
-0.823,-0.76781,-0.77165,-0.78791,-0.65687,-0.77197,-0.75128,-0.7725,-0.7303,-0.79216,-0.76818,-0.72976,-0.74959,-0.7789,-0.66471,-0.63193,-0.40547,-0.19232,-0.22204,-0.12274,0.184,0.11146,0.37006,0.28159,0.36946,0.49743,0.41172,0.49654,0.30674,0.42009,0.31982,0.40376,0.4063,0.31014,0.37059,0.29872,0.49707,0.39008,0.43191,0.37422,-0.1274,0.071613,-0.10524,-0.16473,-0.33915,-0.39405,-0.32978,0.028851,0.10723,0.79203,0.63789,0.78899,0.83871,0.83808,1.0804,1.4274,1.2502,1.4091,1.3194,1.6264,1.8829,1.7114,1.7784,1.6012,1.5511,1.7374,1.3777,1.4337,1.6389,1.5108,1.4871,1.3042,1.1767,1.4631,1.1813,1.1895,1.3578,1.1062,1.0436,0.99273,0.77371,0.9172,0.88674,0.8388,1.1587,0.98306,1.1523,1.0586,0.88933,0.79918,0.97364,0.86094,0.7866,0.66179,0.59241,0.6145,0.6005,0.28011,0.36607,0.16165,0.093612,0.017096,0.056188,0.14587,0.11884,-0.011546,-0.16329,-0.171,-0.22265,-0.37042,-0.42513,-0.42149,-0.40919,-0.48126,-0.46658,-0.55858,-0.71374,-0.72271,-0.70352
-0.83522,-0.77269,-0.775,-0.78596,-0.65065,-0.77352,-0.75044,-0.77378,-0.73177,-0.79437,-0.7667,-0.73098,-0.74942,-0.77695,-0.66226,-0.6409,-0.41186,-0.20443,-0.23375,-0.14491,0.16627,0.091696,0.35172,0.25748,0.34935,0.48157,0.39731,0.49401,0.29466,0.42438,0.32713,0.41435,0.4084,0.31632,0.38187,0.3063,0.49446,0.386,0.43694,0.37357,-0.10155,0.094793,-0.086172,-0.16083,-0.3376,-0.38015,-0.31111,0.054974,0.11734,0.78365,0.62443,0.77169,0.81508,0.8185,1.0505,1.3804,1.2129,1.3619,1.2838,1.5848,1.8474,1.6809,1.7502,1.5679,1.5223,1.709,1.3551,1.4059,1.6083,1.4849,1.4605,1.2743,1.1571,1.4411,1.1561,1.169,1.3334,1.0875,1.03,0.97428,0.75339,0.89949,0.86711,0.83009,1.1349,0.95935,1.1371,1.037,0.87202,0.7838,0.95103,0.84248,0.76642,0.649,0.58478,0.605,0.58238,0.26922,0.35373,0.15022,0.085465,0.010502,0.047824,0.14192,0.11139,-0.01688,-0.17029,-0.17793,-0.2299,-0.37339,-0.43179,-0.42947,-0.41055,-0.49149,-0.47703,-0.5622,-0.71305,-0.72316,-0.70322
-0.84525,-0.77393,-0.7748,-0.78052,-0.63912,-0.77158,-0.74572,-0.77162,-0.72957,-0.79308,-0.76182,-0.72815,-0.7454,-0.7716,-0.65548,-0.64534,-0.41212,-0.20894,-0.23795,-0.15879,0.15862,0.081649,0.34517,0.24471,0.34137,0.47905,0.3956,0.50453,0.29469,0.44162,0.34657,0.43774,0.42355,0.33471,0.40538,0.32583,0.50521,0.39409,0.45462,0.38562,-0.066865,0.128,-0.057999,-0.14925,-0.32942,-0.36023,-0.28547,0.090666,0.13777,0.79079,0.6257,0.77019,0.80702,0.81482,1.0383,1.3544,1.1948,1.3354,1.2677,1.5654,1.8359,1.6726,1.7448,1.5561,1.5145,1.7029,1.3526,1.3983,1.5992,1.4795,1.4548,1.2635,1.1558,1.4394,1.1492,1.1671,1.3289,1.0864,1.0335,0.97249,0.7482,0.89804,0.86381,0.83716,1.129,0.95238,1.1399,1.0331,0.87141,0.7837,0.94528,0.83984,0.76148,0.65064,0.59031,0.60927,0.57849,0.26972,0.35357,0.14929,0.0873,0.013193,0.048875,0.14829,0.1142,-0.012898,-0.16915,-0.17684,-0.22924,-0.36981,-0.43264,-0.4314,-0.40565,-0.49594,-0.48132,-0.56073,-0.70837,-0.71973,-0.69881
-0.85914,-0.77797,-0.77749,-0.77794,-0.6296,-0.7726,-0.74371,-0.77245,-0.73045,-0.79455,-0.76003,-0.72801,-0.74417,-0.76931,-0.65166,-0.65267,-0.41537,-0.21653,-0.24505,-0.17544,0.14764,0.068471,0.33567,0.22925,0.33082,0.47422,0.39154,0.51229,0.29255,0.45655,0.36358,0.45873,0.43663,0.35086,0.42616,0.3429,0.51352,0.39934,0.46958,0.39551,-0.034752,0.15836,-0.032211,-0.14099,-0.32429,-0.34366,-0.26274,0.12333,0.15549,0.7955,0.62498,0.76669,0.79638,0.80886,1.0241,1.3271,1.1749,1.3074,1.2495,1.5443,1.8229,1.6619,1.7373,1.5422,1.5046,1.6944,1.3481,1.3885,1.5877,1.4718,1.4469,1.2504,1.152,1.4353,1.14,1.1632,1.3222,1.0828,1.0344,0.96802,0.7405,0.89406,0.85838,0.84177,1.1204,0.94293,1.1403,1.0271,0.869,0.78098,0.9373,0.83466,0.75403,0.64981,0.5925,0.61069,0.57243,0.2675,0.35086,0.14563,0.086344,0.012939,0.046831,0.15177,0.11434,-0.011615,-0.17075,-0.17856,-0.23111,-0.36908,-0.43664,-0.43624,-0.40361,-0.50309,-0.48803,-0.56217,-0.70662,-0.71925,-0.69724
-0.87396,-0.78209,-0.78036,-0.77557,-0.61975,-0.77391,-0.74182,-0.77361,-0.73186,-0.79605,-0.75876,-0.72798,-0.74313,-0.76744,-0.64845,-0.66039,-0.41967,-0.22562,-0.25343,-0.19326,0.13414,0.053193,0.32365,0.21186,0.31819,0.4672,0.38546,0.51718,0.28876,0.46912,0.37828,0.47719,0.44771,0.36495,0.44414,0.35769,0.51933,0.40191,0.4817,0.40341,-0.0044549,0.18625,-0.0079386,-0.13483,-0.32056,-0.32891,-0.24158,0.15335,0.17102,0.79713,0.62207,0.76074,0.78266,0.80009,1.0069,1.2973,1.1522,1.2766,1.2278,1.5199,1.8056,1.6467,1.7251,1.5243,1.4905,1.6809,1.34,1.3746,1.5715,1.4598,1.4351,1.2334,1.1445,1.4268,1.1275,1.1561,1.3119,1.0755,1.0316,0.95999,0.72991,0.88683,0.85018,0.84318,1.108,0.93026,1.137,1.018,0.86416,0.77512,0.92635,0.82636,0.74367,0.64626,0.59112,0.60903,0.5642,0.2631,0.34598,0.14005,0.083487,0.010769,0.042665,0.15306,0.11265,-0.011953,-0.17367,-0.18162,-0.23391,-0.36935,-0.44181,-0.44198,-0.40254,-0.51075,-0.49498,-0.56428,-0.70528,-0.71917,-0.69604
-0.89017,-0.78743,-0.78462,-0.77476,-0.61192,-0.77679,-0.74157,-0.77638,-0.7353,-0.79872,-0.75943,-0.7296,-0.74376,-0.7674,-0.64791,-0.67025,-0.42819,-0.24035,-0.26706,-0.21632,0.11209,0.030288,0.30202,0.1862,0.29649,0.45007,0.36984,0.51068,0.2763,0.47096,0.38273,0.48457,0.44857,0.36916,0.45095,0.36234,0.51412,0.39397,0.48252,0.40144,0.017817,0.20448,0.0088024,-0.13574,-0.32212,-0.32008,-0.2267,0.17366,0.17753,0.78572,0.60807,0.74275,0.75632,0.77875,0.97611,1.2529,1.1152,1.2313,1.1909,1.4787,1.7692,1.6127,1.6935,1.4887,1.459,1.6481,1.3156,1.3441,1.5369,1.4302,1.4063,1.2008,1.1218,1.4008,1.1002,1.1341,1.2853,1.0533,1.0139,0.93778,0.70715,0.8661,0.82925,0.83121,1.0806,0.90402,1.1183,0.99503,0.84678,0.75646,0.90209,0.80505,0.72105,0.63101,0.57741,0.59545,0.54539,0.24962,0.33162,0.12636,0.072788,0.0011205,0.030687,0.14576,0.10302,-0.019381,-0.18242,-0.19049,-0.24183,-0.37416,-0.45115,-0.4516,-0.40582,-0.52147,-0.50479,-0.56945,-0.70608,-0.72113,-0.69695
-0.90629,-0.79075,-0.78699,-0.77212,-0.59982,-0.77786,-0.73893,-0.77734,-0.73661,-0.79956,-0.75839,-0.72861,-0.74211,-0.76567,-0.64436,-0.67678,-0.43107,-0.24731,-0.27303,-0.23062,0.10147,0.018277,0.29426,0.17371,0.28914,0.44898,0.36936,0.51988,0.27811,0.48829,0.40151,0.50726,0.4651,0.38785,0.47237,0.38107,0.52506,0.40049,0.49848,0.41465,0.049635,0.23412,0.035555,-0.12861,-0.31728,-0.30557,-0.20487,0.2047,0.19576,0.79347,0.612,0.74427,0.74927,0.77711,0.96767,1.2354,1.1028,1.2124,1.1788,1.4664,1.7644,1.6078,1.6919,1.4812,1.4548,1.6445,1.3171,1.3397,1.5304,1.4274,1.4044,1.1928,1.1223,1.4011,1.0964,1.1359,1.2843,1.0535,1.0178,0.93661,0.70323,0.86573,0.82882,0.83894,1.076,0.89888,1.1226,0.99441,0.85037,0.75684,0.89917,0.80349,0.71744,0.63354,0.57981,0.59872,0.544,0.24953,0.33175,0.12476,0.073382,0.0017947,0.029281,0.15029,0.10516,-0.016505,-0.1826,-0.19088,-0.24152,-0.37265,-0.45517,-0.45561,-0.40321,-0.52701,-0.50892,-0.57043,-0.70436,-0.72073,-0.69513
-0.92211,-0.79318,-0.78864,-0.76902,-0.58688,-0.77842,-0.73566,-0.77781,-0.73761,-0.79959,-0.75717,-0.72692,-0.73989,-0.76369,-0.64074,-0.68259,-0.43399,-0.25452,-0.279,-0.24443,0.089809,0.0057598,0.28554,0.16104,0.28139,0.44723,0.36834,0.52721,0.27966,0.50404,0.41863,0.52798,0.48053,0.40523,0.49157,0.39813,0.53456,0.40539,0.51234,0.4269,0.079506,0.26136,0.06102,-0.12283,-0.3131,-0.29253,-0.18446,0.23303,0.21231,0.79938,0.6151,0.74487,0.74096,0.77429,0.95832,1.218,1.0899,1.1936,1.1658,1.4533,1.758,1.6006,1.6879,1.472,1.4488,1.6382,1.3169,1.3335,1.5216,1.4224,1.4007,1.1833,1.1209,1.3991,1.0912,1.1363,1.2816,1.0518,1.0196,0.93365,0.69827,0.86378,0.82745,0.84484,1.0698,0.89249,1.1249,0.99264,0.85326,0.7557,0.89526,0.80054,0.71279,0.63488,0.58,0.6003,0.54216,0.24862,0.33116,0.12261,0.073293,0.0017142,0.027017,0.15374,0.10673,-0.014156,-0.18298,-0.19144,-0.241,-0.37118,-0.45924,-0.45936,-0.40069,-0.53184,-0.51203,-0.57112,-0.70233,-0.71998,-0.6929
-0.9378,-0.795,-0.78988,-0.76579,-0.57345,-0.77876,-0.73207,-0.77805,-0.73854,-0.79913,-0.75611,-0.72479,-0.73743,-0.7618,-0.63734,-0.68777,-0.43692,-0.26171,-0.28475,-0.25731,0.077758,-0.0066537,0.27661,0.14896,0.27402,0.44562,0.36751,0.53337,0.28157,0.51876,0.43456,0.54719,0.49543,0.42176,0.50903,0.41396,0.54333,0.40931,0.52468,0.43877,0.10731,0.28633,0.085195,-0.11826,-0.30956,-0.28107,-0.16561,0.25868,0.22743,0.8044,0.61823,0.74559,0.73256,0.7714,0.94947,1.2026,1.0781,1.1766,1.1533,1.4415,1.752,1.5931,1.6835,1.4631,1.4427,1.6313,1.3167,1.3273,1.5123,1.4169,1.397,1.174,1.1191,1.3964,1.0863,1.1367,1.279,1.0497,1.0205,0.93023,0.69341,0.86146,0.82634,0.84995,1.0634,0.8862,1.1266,0.99107,0.8566,0.75415,0.89171,0.79738,0.70826,0.636,0.5789,0.60109,0.54083,0.24756,0.33059,0.12047,0.072986,0.0012845,0.024375,0.15659,0.10823,-0.011989,-0.18331,-0.19192,-0.24007,-0.36972,-0.4633,-0.46278,-0.39825,-0.53592,-0.51408,-0.5716,-0.70027,-0.71917,-0.69053
