PC1	PC2	class	class_encoded	set_type
-2.028033826806069	-1.9249185032444147	the_1	1	训练集
-1.0915545261124422	0.3487822324909317	the_0	0	训练集
-1.9198712655404189	-1.7283007470396143	the_1	1	训练集
0.12499134943159343	2.3796309470619263	the_1	1	训练集
-1.365295801963573	-0.7979381378987777	the_1	1	训练集
-0.10972253064973538	1.9612880254861804	the_1	1	训练集
0.08745234419796864	2.351567165752801	the_0	0	训练集
-2.4275837906570925	-2.953918587497117	the_0	0	训练集
-2.008133465031515	-1.9662553317475688	the_1	1	训练集
-1.3482549594618751	-0.2451065956603618	the_1	1	训练集
-0.7485454820391743	1.0676380089769597	the_1	1	训练集
-1.2575414435817325	0.02329235798768884	the_1	1	训练集
13.839362454751164	-1.414258422909929	the_0	0	训练集
0.2527309434628979	2.898497588241296	the_0	0	训练集
1.1631450196691784	5.569620894984844	the_0	0	测试集
-1.220781031781019	0.03677747091742334	the_1	1	测试集
-0.822607781159371	0.7766424119656292	the_1	1	测试集
-1.8448047373802476	-1.2457050129970875	the_1	1	测试集
-0.03866883405166888	2.379897657219521	the_0	0	测试集
-1.0413170068260684	0.19178665839858874	the_1	1	测试集
-1.6819024649375656	-0.8868269691670382	the_1	1	测试集
