LLE1	LLE2	target
0.6088581058795572	0.17712756902616367	1_0
-0.21379135574088115	-0.22796647243445828	1_1
-0.07137213770231095	0.39708784407129377	1_2
-0.3973647788308041	-0.25540481613776517	1_3
-0.33997653626099067	0.32470020657000004	1_4
-0.2423753823435177	-0.1707859154897345	1_5
-0.2054286772963565	0.3150342757313099	1_6
-0.11294809121050672	-0.266011614752652	1_7
-0.11204504036099544	0.3101069813602414	1_8
-0.01222535392752332	-0.24321283424372636	1_9
-0.05384798372847741	0.30350718625709494	1_10
0.013096647200982494	-0.1378826924081688	1_11
0.07775455515588825	0.21988521660943489	1_12
0.07103748490368492	-0.1396941568247931	1_13
0.1330173182997032	-0.08856754735345407	1_14
0.07756396336954872	-0.07796070088902773	1_15
0.17679275281519655	-0.08884037528941652	1_16
0.08163093234211276	-0.0956416754852201	1_17
0.21880880539723918	-0.04765996528390204	1_18
0.08401781547954065	-0.10332194298311412	1_19
0.21879695638555124	-0.10449857006580196	1_20
